sample_index,source_trace_index,case_id,variant_frequency,trace_length,trace_sha256,alignment_cost
1,19218,Application_714929749,1,73,03cc670e9f92a788b6b1e97418462026630d6cabd0df88714dcc84f7eadab45c,0
2,2536,Application_405889238,1,42,79bafde9f5b67a1a1dfcdea7d14e867ddb6323c86ac5c7fcede6144619ee64e6,0
3,476,Application_368633868,1,42,9b78884ec142294b8e5ff884f82c6b875bc21adc78638c6023d53a037a5925a6,0
4,23110,Application_1465496190,1,42,720ec487574e3365b69397861cefc9145409fa793ed40f04a413ba215580be84,0
5,7705,Application_1183289817,1,90,2b588e9605c82a875ba254937703e989773bdffe99591d96cbaa504652094a99,0
6,6745,Application_1030054529,1,59,8a591aade3192b4091c0d34375464febdd0fe97cb262ac57b889e10f88f89edd,0
7,6042,Application_619220322,1,56,58a4c81deeca2fba3db59f47d9cbdcacb8470ab52fb718c8025cc38c4d201d95,0
8,3364,Application_419944128,1,41,75ebb117fff9fbbec76aa45a45b73d8f813d0d912ab40d7f3658b07fb5d3d1d4,0
9,22915,Application_2040998289,1,40,b2f1ee96c733c491d8261d0afdb2dc46bf58d051fcfab840096332c6bea1310e,0
10,2325,Application_1152251519,1,42,f5194d98db4e51b0c7fa178039b10dd6bde01a8105d9dc6a7a2e034468a4003f,0
11,20545,Application_27269617,1,68,9545a2021149059898d0273ac6c8f5f7c41b813a4b2c149c4341763d03d51387,0
12,23078,Application_2012468106,1,55,f7107f3a513910edca7704657046428dd2692c9b5c950745714b8d3608c9afb7,0
13,28636,Application_2123334132,1,54,78cd15a9afd661b10ad74afacbddc78edf607e174d2033d1b1783019c0753d4c,0
14,15939,Application_833766044,1,63,c1b578bbd21ddd0bb32cdc8663e46b7e95eeb18fe8093e5857f0042167a74cd2,0
15,1928,Application_889482237,1,41,672cf8b470fda74a3dd2baf1eaaafc9f2331ed454ee497a639771931d8b9996c,0
16,17425,Application_2096375121,4,33,41469a8fb5e578a654bd7e4fc568983abeaf35b318344e1e1098e0a26131729c,0
17,12132,Application_1207781516,1,28,f756a5868e902aae9d3e65474f4c5af2fa9e401ba40d423ec21005b164b69e28,0
18,605,Application_524679066,1,48,a19877a41774ad8d931d0260792900d0e974dab55df5f820c82b36f5599d723e,0
19,561,Application_275430191,1,48,71b6edc0b024ba75faf6442f9f9a3d6ad582ba55c3b4bb58c8d55d14882e2651,0
